crag,name,grade,ascents
cumberland,v3 roof,6A,1
cumberland,N.N. (V5),6C,1
cumberland,Fallen Limbs variation,7A,1
cumberland,7/11 indirect right,5B,1
cumberland,Right Arete,6A,1
cumberland,Prow 2,5A,1
cumberland,Blade of the Immortal,7C,1
cumberland,Mirros,4C,1
cumberland,Creekside?,6C,1
cumberland,N.N.,6B,1
cumberland,Cake Walk Left,7C+,1
cumberland,Tinkering,5B,1
cumberland,Pertinent Information,6B,1
cumberland,Undercling start,6B,1
cumberland,Knucklehead,6C,1
cumberland,Chietlas Escalator,6B,1
cumberland,Fresh Man,7A,1
cumberland,Fine Decision,6A,1
cumberland,Far away,7A,1
cumberland,Slurpy,8A,1
cumberland,Over and out,6A,1
cumberland,Across the Grain,7A,1
cumberland,low down,5C,1
cumberland,Not Down with OPP,7A+,1
cumberland,left low start,6A,1
cumberland,Center Face Sit,7A+,1
cumberland,pocket problem,6B,1
cumberland,Cumberland Warmup 5,6C,1
cumberland,Sunburst,7A+,1
cumberland,birds nest,6B,1
cumberland,Groove Party,7A+,1
cumberland,Crimp Problem,6A,1
cumberland,Against the Grain,7A,1
cumberland,Left Arete,6B,1
cumberland,warm up left,6C,1
cumberland,Pandora's Box,7A+,1
cumberland,Full House,7C+,1
cumberland,Badonka,7C+,1
cumberland,Sneaky Snake,6C,1
cumberland,The Butcher,6C,1
cumberland,Continuous Waveform,8A+,1
cumberland,Ear V2,5B,1
cumberland,Doppleganger Poltergeist,7C+,1
cumberland,N.N. (V7),7B,1
cumberland,Hueco Roof Left Low,6C,1
cumberland,Iron Ear Dyno,6C,1
cumberland,Garage Door Traverse,5B,1
cumberland,N.N.,7A,1
cumberland,Huckleberry Finn,7A+,1
cumberland,Left Traverse,7A+,1
cumberland,Maylene,6C,1
cumberland,N.N. (Roof),6B,1
cumberland,Hueco Arrete Left,6B,1
cumberland,Mr Crowleys Horse,6B,1
cumberland,Dragon Area?,6C,1
cumberland,Mr Crowley,6A,1
cumberland,Low Rider,6C+,1
cumberland,Flat Bottom Burl,6B,1
cumberland,Saint John,6C,1
cumberland,Windtwist,6B,1
cumberland,Dream Eater,7B+,1
cumberland,Salo's Stand,7A,1
cumberland,over under,5C,1
cumberland,N.N. (V7),7A+,1
cumberland,N.N.,6C,1
cumberland,By the river jordan,7C,1
cumberland,Time Stretch Stand,7A+,1
cumberland,Powerball,7C,1
cumberland,Long Daniel,5A,1
cumberland,Slurpie,7C,1
cumberland,creek problem,6C,1
cumberland,Big Arete,6A,1
cumberland,Resolutions,7A,1
cumberland,Jugs For Days,5B,1
cumberland,Old Man Syndrome,7A,1
cumberland,Hollow back,5B,1
cumberland,Annhilation,7A+,1
cumberland,Over and Under,5C,1
cumberland,low roof v3,6A,1
cumberland,The Shield,5C,1
cumberland,Bone Spur,7B,1
cumberland,N.N.,6C+,1
cumberland,The Penny Jane Memorial Problem,6B,1
cumberland,N.N.,7A+,1
cumberland,In the South,6C,1
cumberland,Power Prow Extension,7B+,1
cumberland,Skirt,6A,1
cumberland,Smoke,5A,1
cumberland,Stone Dragon,6A,1
cumberland,Stand and Deliver,5C,1
cumberland,Meower Meow,7B,1
cumberland,Nipple Burn,7A,1
cumberland,Dead Leg,7A,1
cumberland,Dirty Whirl,5C,1
cumberland,Hueco Roof,6B,1
cumberland,Solar Power,7A,1
cumberland,Birdhouse,7A,1
cumberland,Lowlife,6B,1
